Arsa payı karşılığı inşaat sözleşmelerinde arsa sahibinin temel amacı nedir?,Yüklenici tarafından inşa edilen bağımsız bölümlere bir an önce kavuşmaktır.
İnşaat sözleşmelerinde bağımsız bölümlerin tesliminde gecikme yaşanması durumunda sıklıkla hangi hukuki araç kararlaştırılır?,Ceza koşulu (veya kira tazminatı).
Yüklenicinin teslim borcunu ifada gecikmesi hangi hukuki duruma yol açar?,Yüklenicinin temerrüdü.
"Yargıtay uygulamasına göre, arsa sahibinin irade beyanıyla sözleşmeyi sona erdirememesi durumunda ne gereklidir?",Mahkemece verilecek bir fesih veya dönme kararı.
Öğretideki hâkim görüşe göre eser sözleşmesi zaman yönünden ne tür bir sözleşmedir?,Ani edimli bir sözleşmedir.
Eser sözleşmesinin ani edimli sayılmasının temel gerekçesi nedir?,"Alacaklının ifaya olan menfaatinin zaman içinde değil, teslimle bir defada gerçekleşmesidir."
Arsa payı karşılığı inşaat sözleşmesinin sürekli borç doğuran bir sözleşme olduğunu savunan yazarlar hangi unsura odaklanır?,Eseri meydana getirme (faaliyet) unsuruna.
"Arsa payı karşılığı inşaat sözleşmesi ani edimli kabul edildiğinde, sözleşme hangi hukuki yolla sona erdirilebilir?",Sözleşmeden dönme.
Ani edimli sözleşmelerde 'dönme' beyanının temel amacı nedir?,Sözleşmenin kurulmasından önceki durumun tekrar tesis edilmesini sağlamaktır.
Yargıtay'ın 25.01.1984 tarihli İçtihadı Birleştirme Kararı'nın temel konusu nedir?,"İnşaat sözleşmelerinde feshin, olayın niteliğine göre ileriye etkili sonuçlar doğurabilmesidir."
"Yargıtay'a göre, feshin geriye değil ileriye etkili sonuçlar doğurması hangi temel hukuk ilkesine dayanır?",Türk Medeni Kanunu m. 2 (Dürüstlük Kuralı).
"Yargıtay'ın güncel istikrar kazanmış içtihatlarına göre, sözleşmenin ileriye etkili feshine karar verilebilmesi için inşaat seviyesi en az ne olmalıdır?",$\%90$ ve üzerinde.
Ceza koşulunun asıl alacağa bağlı olmasına ne ad verilir?,Ceza koşulunun fer'i niteliği.
"Türk Borçlar Kanunu m. 182/II uyarınca, asıl borç geçersizse ceza koşulunun akıbeti ne olur?",Ceza koşulu da kural olarak geçersiz olur.
