Medeni usul hukukunun temel varlık nedeni nedir?,Maddi hukuk tarafından tanınmış hakları korumak ve gerçekleştirmek.
"Hâkim, yabancı unsurlu bir uyuşmazlıkta usul kuralları bakımından hangi yer hukukunu uygular?",Lex fori (kendi hukukunu).
Medeni usul kurallarının zaman bakımından uygulanmasında geçerli olan temel ilke nedir?,Derhal uygulanırlık ilkesi.
"Yeni bir usul kuralı, davanın hangi tür işlemlerine etki etmez?",Tamamlanmış usuli işlemlere.
Çekişmesiz yargıda 'taraf' kavramı yerine hangi kavram kullanılır?,İlgililer.
Çekişmesiz yargı işlerinde hâkimin tarafların getirdiği malzemeyle bağlı olmamasını sağlayan ilke hangisidir?,Re'sen araştırma ilkesi.
Çekişmesiz yargıda verilen kararların çekişmeli yargı kararlarından farkı nedir?,Maddi anlamda kesin hüküm teşkil etmemeleri.
Aksine bir düzenleme bulunmadıkça çekişmesiz yargı işlerinde görevli mahkeme hangisidir?,Sulh Hukuk Mahkemesi.
Çekişmesiz yargı işlerinde uygulanan yargılama usulü hangisidir?,Basit yargılama usulü.
Nişanlısının davasına bakmak hâkim için hangi tür bir engeldir?,Yasaklılık hali.
Boşanma davalarında yetkili mahkeme neresidir?,Eşlerden birinin yerleşim yeri veya son 6 aydır birlikte oturdukları yer mahkemesi.
Taşınmazın aynına ilişkin davalarda yetki kuralının niteliği nedir?,Kesin yetkidir.
Hâkimin yasaklılık hallerinden biri ortaya çıktığında hâkimin yapması gereken işlem nedir?,Resen çekinmek.
Mahkemenin yetkisiz olduğuna karar vermesi durumunda davanın açılmamış sayılmaması için ne yapılmalıdır?,Kararın kesinleşmesinden itibaren 2 hafta içinde dosyanın yetkili mahkemeye gönderilmesi talep edilmelidir.
Can sigortalarında sigortalının leh veya aleyhine açılacak davalarda yetkili mahkeme neresidir?,Sigortalının yerleşim yeri mahkemesi.
Görevsiz mahkemenin davanın esası hakkında karar vermesi ne tür bir bozma nedenidir?,Mutlak bozma nedenidir.
Hakimin ölmesi veya hastalanması gibi fiili nedenler hangi prosedürü tetikleyebilir?,Merci tayini (yargı yeri belirlenmesi).
Hâkimin eşinin davasına bakması hangi engel türüne girer?,Hâkimin yasaklılık halleri (çekinme nedenleri).
Hâkimin reddi talebi reddedilirse ne olur?,"Hâkim davaya bakmaya devam eder, bu karara karşı asıl hükümle birlikte kanun yoluna başvurulabilir."
Uygunsuz veya ilgisiz dilekçelerin akıbeti nedir?,"Yeniden düzenlenmesi için süre verilir, düzenlenmezse dosyasında kalır."
İflas davaları için kesin yetkili mahkeme neresidir?,Tüzel kişinin genel merkezinin bulunduğu yer mahkemesi.
Adli yargı alanında içtihatların birleştirilmesine karar veren en üst mercii hangisidir?,Yargıtay.
Sözleşmeden doğan davalarda davacının seçebileceği özel yetkili yer neresidir?,Sözleşmenin ifa edileceği yer mahkemesi.
Kat Mülkiyeti Kanunundan doğan uyuşmazlıklarda hangi mahkeme görevlidir?,Sulh Hukuk Mahkemesi.
Şubelerin işlemlerinden doğan davalarda merkez mahkemesi dışında neresi yetkilidir?,Şubenin bulunduğu yer mahkemesi.
Türkiye'de yerleşim yeri bulunmayanlar için genel yetkili mahkeme neresidir?,Türkiye’deki mutad meskeninin bulunduğu yer mahkemesi.
İstihkak davası ile ihalenin feshi davası kararlarının icra mahkemesindeki ortak özelliği nedir?,Maddi anlamda kesin hüküm teşkil etmeleri.
Görev kurallarının niteliği nedir ve mahkemece nasıl dikkate alınır?,Kamu düzenine ilişkindir ve yargılamanın her aşamasında re'sen gözetilir.
Hukuk mahkemeleri hangi makam tarafından kurulur?,Adalet Bakanlığı.
Tasarruf ilkesinin davanın sonuna etkisi nedir?,Taraflar davadan feragat edebilir veya sulh olabilirler.
Birden fazla davalının bulunduğu hallerde yetkili mahkeme hangisidir?,Davalılardan birinin yerleşim yeri mahkemesi.
Vesayet hukukundan kaynaklanan uyuşmazlıklarda güncel düzenlemeye göre görevli mahkeme hangisidir?,Sulh Hukuk Mahkemesi.
Hâkimin reddi talebi vekil aracılığıyla yapılacaksa vekaletnamede ne bulunmalıdır?,Özel yetki.
Asliye Ticaret Mahkemesi ile Asliye Hukuk Mahkemesi arasındaki ilişki nedir?,Görev ilişkisidir.
İcra mahkemesi kararlarına karşı istinaf süresi ne kadardır?,10 gün.
Çekişmesiz yargı kapsamında 'ergin kılınma' ve 'ad-soyad değişikliği' hangi hukuk dalı başlığı altındadır?,Kişiler Hukuku.
"Hâkimin tarafların talepleriyle bağlı olup, talepten fazlasına veya başka bir şeye karar verememesi hangi ilkenin sonucudur?",Tasarruf ilkesi.
Bölge Adliye Mahkemesi hukuk daireleri en az kaç kişiden oluşur?,Bir başkan ve iki üye.
Hâkimin reddi nedenleri kanunda sınırlı (tahdidi) olarak mı sayılmıştır?,"Hayır, tarafsızlığı şüpheye düşürecek her durum ret nedeni olabilir."
Bir heyet halindeki mahkemenin tamamı reddedilebilir mi?,"Hayır, reddi nedenleri kişiseldir."
Hâkimin reddi dilekçesi nereye verilir?,Reddi istenen hâkimin mensup olduğu mahkemeye.
Dava konusunun değerine bakılmaksızın malvarlığı haklarına ilişkin davalarda genel görevli mahkeme hangisidir?,Asliye Hukuk Mahkemesi.
Tüketici uyuşmazlıklarında dava açılmadan önce arabulucuya başvurulması kuralının istisnası nedir?,Tüketici hakem heyetinin görevi kapsamında olan uyuşmazlıklar.
"Usul kuralları ile ilgili değişiklikler derhal uygulanırken, hakların kaybını önlemek için ne gözetilir?",Müktesep (kazanılmış) haklar.
Miras sebebiyle istihkak davalarında kesin yetkili mahkeme neresidir?,Ölenin son yerleşim yeri mahkemesi.
Mirasın reddi beyanının tespiti hangi yargı işidir?,Çekişmesiz yargı işidir.
Hangi yargılama ilkesi 6100 sayılı HMK'da açıkça düzenlenmemiştir?,Teksif ilkesi.
Taşınmaz üzerindeki ayni hakka ilişkin davalarda yetkili mahkeme neresidir?,Taşınmazın bulunduğu yer mahkemesi.
HMK 17 uyarınca yetki sözleşmesini sadece hangi taraflar yapabilir?,Tacirler veya kamu tüzel kişileri.
"Aile mahkemelerinde kural olarak yazılı yargılama usulü uygulanırken, hangi konularda basit usul uygulanır?",Velayet ve nafaka.
Mirasçıların birbirlerine karşı açacakları tereke yönetimi davalarında yetkili mahkeme neresidir?,Ölenin son yerleşim yeri mahkemesi (Kesin yetki).
Tasarruf ilkesi uyarınca hâkimin kendiliğinden dava açamaması kuralına ne denir?,Nemo iudex sine actore (Hâkimin talep olmaksızın harekete geçememesi).
Fikri ve Sınai Haklar Mahkemesi'nin görev alanına giren davalar nitelikçe nedir?,Ticari davadır.
Kıymetli evrakın iptali hangi mahkemede çekişmesiz yargı işi olarak görülür?,Ticaret mahkemesi (özel düzenleme ile).
Hâkimin Türk hukukunu re'sen (kendiliğinden) uygulama zorunluluğu HMK'da nasıl düzenlenmiştir?,Hukukun uygulanması (Hakim Türk hukukunu resen uygular).
Bölge Adliye Mahkemelerinin kaldırılması veya yargı çevrelerinin değiştirilmesi kararı hangi kurumca verilir?,HSK (Hâkimler ve Savcılar Kurulu).
Hâkimin çekinme kararına karşı başvuru üzerine Bölge Adliye Mahkemesi'nin verdiği karar nasıldır?,Kesindir.
Dava açıldıktan sonra dava konusunun miktarında meydana gelen değişiklik görevi etkiler mi?,"Hayır, dava açıldığı andaki görev durumu devam eder."
Haksız fiilden doğan davalarda hangi yerleşim yeri mahkemesi yetkilidir?,Zarar görenin yerleşim yeri mahkemesi.
Yetki itirazı yargılamanın hangi aşamasına kadar ileri sürülmelidir?,Cevap dilekçesinde (ilk itiraz olarak).
Yargı yerinin belirlenmesi (merci tayini) incelemesi nasıl yapılır?,Dosya üzerinden yapılabilir.
Davada taraflardan birine öğüt vermek hâkim için hangi prosedürü doğurur?,Hâkimin reddi.
Tüzel kişilere karşı açılan davalarda genel yetkili mahkeme neresidir?,Tüzel kişinin muamele merkezinin bulunduğu yer mahkemesi.
Hangi durumlarda iki mahkeme arasındaki yargı sınırlarının belirlenmesi için merci tayinine gidilir?,Sınırların belirlenmesinde tereddüt ortaya çıkarsa.
Hukuk mahkemelerinin kurulması hangi kurumun olumlu görüşüyle gerçekleşir?,Hâkimler ve Savcılar Kurulu (HSK).
Naip tayini nedir?,Toplu mahkemelerde bir üyenin mahkeme yargı çevresi içinde bir işlemi (örneğin tanık dinleme) gerçekleştirmesidir.
Hâkimin reddi talebi en geç ne zamana kadar yapılmalıdır?,En geç ilk oturuma kadar (veya neden sonradan öğrenilmişse sonraki ilk oturumda).
Bölge adliye mahkemesince verilen yargı yeri belirlenmesi kararlarına karşı temyiz yoluna başvurulabilir mi?,"Hayır, bu kararlar kesindir."
Davaya bakması yasak olan hâkimin verdiği kararlar ne olur?,Her halde iptal olunur.
Genel yetkili mahkeme neresidir?,Davalının davanın açıldığı tarihteki yerleşim yeri mahkemesi.
İcra mahkemesinin hangi kararları maddi anlamda kesin hüküm teşkil eder?,İhalenin feshi ve istihkak davası kararları.
Taşınmaz üzerindeki kira bedeline ilişkin davalarda kesin yetki kuralı uygulanır mı?,"Hayır, çünkü bu şahsi bir haktır."
Hâkimin davayı sevk ve idare etme yetkisi neyi kapsar?,Yargılama düzeninin bozulmaması için gerekli her türlü tedbiri almayı.
Dava malzemesinin bizzat taraflarca getirilmesi ilkesine ne ad verilir?,Taraflarca getirilme ilkesi.
Görev bir dava şartı olduğu için yargılamanın hangi aşamasında incelenir?,Ön inceleme aşamasında ve tahkikata geçmeden önce.
Tüketici hakem heyeti kararlarının niteliği nedir?,İlam niteliğinde belgedir.
Mirasçılık belgesi (veraset ilamı) verilmesi hangi yargı koluna girer?,Çekişmesiz yargı.
Taraflarca getirilme ilkesinin istisnasını hangi ilke oluşturur?,Kendiliğinden (re'sen) araştırma ilkesi.
Yetki sözleşmesiyle belirlenen mahkemenin yetkisi kural olarak nasıldır?,Münhasırdır (aksi kararlaştırılmadıkça sadece o mahkeme yetkilidir).
İki mahkeme arasında olumsuz görev uyuşmazlığı (ikisinin de görevsizlik vermesi) çıkarsa hangi yola başvurulur?,Merci tayini (yargı yeri belirlenmesi).
Tüketici mahkemelerinde tüketiciler tarafından açılan davalar hangi masraftan muaftır?,Harçlardan.
Kesin yetki hallerinde mahkemenin yetkisizliği taraflarca ne zamana kadar ileri sürülebilir?,Davanın her aşamasında.
Bölge Adliye Mahkemeleri arasındaki yetki uyuşmazlıklarında merci tayini hangi kurumca yapılır?,Yargıtay.
Bir mahkemenin kendi yargı çevresi dışındaki bir işlemi o yer mahkemesi aracılığıyla yapmasına ne ad verilir?,İstinabe.
Kesin yetki hallerinde yetki sözleşmesi yapılabilir mi?,"Hayır, kesin yetkinin bulunduğu hallerde yetki sözleşmesi yapılamaz."
