Türk Medenî Kanunu madde 701 uyarınca elbirliği mülkiyetinin tanımı nedir?,Kanun veya kanunda öngörülen sözleşmeler uyarınca oluşan topluluk dolayısıyla mallara paylara bölünmeksizin birlikte sahip olunmasıdır.
Elbirliği mülkiyetinde hak sahiplerinin paylarının durumu nasıldır?,Hak sahiplerinin payları belirlenmemiştir; mülkiyet hakkı eşyanın tamamına yayılmış durumdadır.
Elbirliği mülkiyeti hangi iki temel kaynağa dayalı olarak ortaya çıkabilir?,Kanun veya kanunda öngörülmüş sözleşmelere dayalı olarak ortaya çıkar.
Elbirliği mülkiyetine ilişkin genel hükümler TMK'nın hangi maddeleri arasında düzenlenmiştir?,Türk Medenî Kanunu madde 701 ile 703 arasında düzenlenmiştir.
Günümüzde Türk-İsviçre hukukunda elbirliği mülkiyetini açıklayan hâkim teori hangisidir?,Bölünmemiş elbirliği hak sahipliği teorisi.
Bölünmemiş elbirliği hak sahipliği teorisine göre elbirliği mülkiyetini doğuran birliğin tüzel kişiliği var mıdır?,"Hayır, elbirliği mülkiyetini doğuran birliğin tüzel kişiliği bulunmamaktadır."
Bölünmemiş elbirliği hak sahipliği teorisine göre hakkın süjesi kimdir?,"Hak, ortakların tamamına paylara bölünmemiş hâlde aittir; birliğin kendisi hakkın süjesi değildir."
"Elbirliği mülkiyeti ile paylı mülkiyet arasındaki temel fark, hak sahipliğinin _____ dayanmasıdır.",Kanunî veya kanunda öngörülmüş bir kişisel ilişkiye.
Tarafların anlaşarak kanunda öngörülmemiş bir ilişkiye elbirliği mülkiyeti sonucu bağlaması mümkün müdür?,"Hayır, elbirliği mülkiyeti sadece kanunun öngördüğü sınırlı sayıdaki hallerde söz konusu olabilir."
Tapu Sicili Tüzüğü m. 28/f. 5'e göre elbirliği mülkiyetine tabi taşınmazların kaydı nasıl yapılır?,Bütün maliklerin adı yazıldıktan sonra parantez içerisinde elbirliği mülkiyetini doğuran ilişki belirtilir.
"Paylı mülkiyette paydaşlar payları üzerinde bağımsız tasarruf yapabilirken, elbirliği mülkiyetinde tasarruf yetkisi nasıldır?","Ortaklar, elbirliği mülkiyeti devam ettiği sürece payları üzerinde tek başlarına tasarrufta bulunamazlar."
Elbirliği mülkiyetinde hak sahiplerinin payları somut olarak ne zaman ortaya çıkar?,Elbirliği mülkiyetini doğuran hukukî ilişkinin tasfiyesi hâlinde ortaya çıkar.
Elbirliği mülkiyetinde yönetim ve tasarruf işleri için kural olarak aranan karar alma usulü nedir?,Ortakların oybirliği ile karar alması kuraldır.
"Üçüncü kişilerin, elbirliği ortaklarından birinin kişisel borcu nedeniyle eşyaya doğrudan cebri icra yapma imkanı var mıdır?","Hayır, cebri icra ancak mülkiyet hâli sona erdikten sonra borçluya düşecek tasfiye payı üzerinde gerçekleştirilebilir."
