Türkiye'de konut kiralarında uygulanacak yasal kira artış oranı hangi veriye dayanılarak hesaplanır?,TÜİK tarafından açıklanan 12 aylık TÜFE (Tüketici Fiyat Endeksi) ortalaması.
Konut kira artışlarında uygulanan $25\%$'lik yasal sınır hangi tarihte kaldırılmıştır?,1 Temmuz 2024.
2026 yılı Şubat ayı için açıklanan en yüksek yasal kira artış oranı yüzde kaçtır?,"$\% 33,98$."
"Kira sözleşmesinde kira artış oranı belirtilmemişse, mülk sahibi kira bedelini doğrudan artırabilir mi?","Hayır, artış yapabilmek için kira tespit davası açması gerekir."
Kira sözleşmesinde belirlenen artış oranı TÜFE oranından yüksekse hangi oran geçerli kabul edilir?,Yasal üst sınır olan TÜFE oranı geçerli kabul edilir.
İşyeri kira artış oranları hangi yasal sınırlamaya tabidir?,Konutlarda olduğu gibi TÜFE (12 aylık ortalama) oranı ile sınırlıdır.
"Kira sözleşmesinin yenilenme döneminde mülk sahibi tarafından yapılabilecek zam, bir önceki kira yılındaki hangi endeksi geçemez?",12 aylık ortalamalara göre hesaplanan Tüketici Fiyat Endeksi (TÜFE).
"Ticari amaçla kiralanan işyerlerinde, kiraya veren iktisadi bir işletmeyse uygulanacak KDV oranı kaçtır?",$\% 20$.
Konut kiralarında kiracı tarafından kira bedeline ek olarak stopaj ödenmesi gerekir mi?,"Hayır, konut kiralarında stopaj uygulanmaz."
İşyeri kiralarında kiracının kira bedeli üzerinden vergi dairesine ödemesi gereken stopaj oranı kaçtır?,$\% 20$.
Emlak vergisi ve temizlik vergisi gibi taşınmaza bağlı vergilerin ödenmesinden hukuken kim sorumludur?,Mülk sahibi (ev sahibi).
Kira tespit davası açılabilmesi için kira sözleşmesinin başlangıcından itibaren en az kaç yıllık sürenin geçmiş olması gerekir?,5 yıl.
Kira tespit davasında mahkeme kira bedelini belirlerken hangi kriterleri esas alır?,"TÜFE artış oranı, emsal kira bedelleri ve kiralananın durumu/konumu."
Kira bedelinin belirlenmesi davalarında (Kira Tespit Davası) hangi mahkeme görevlidir?,Sulh Hukuk Mahkemesi.
"Kira tespit davasının yeni dönemden itibaren geçerli olması için, davanın yeni dönem başlangıcından en geç kaç gün önce açılması gerekir?",30 gün.
Kiralanan taşınmazın satılması durumunda yeni malik kira sözleşmesiyle bağlı mıdır?,"Evet, yeni malik kira sözleşmesinin tarafı haline gelir ve aynı hükümlerle bağlıdır."
"TBK 350 uyarınca mülk sahibi, hangi yakınlarının konut ihtiyacı için tahliye davası açabilir?","Kendisi, eşi, altsoyu, üstsoyu veya kanun gereği bakmakla yükümlü olduğu kişiler."
"Mülk sahibi, bir yeğeninin konut ihtiyacı sebebiyle TBK 350 kapsamında tahliye davası açabilir mi?","Hayır, yeğen kanunda sınırlı olarak sayılan kişiler arasında yer almaz."
İhtiyaç sebebiyle tahliye davasında (TBK 350) aranılan en temel niteliksel şart nedir?,"İhtiyacın gerçek, samimi ve zorunlu olması."
"Mülk sahibi, ihtiyaç sebebiyle tahliye ettiği bir konutu haklı bir sebep olmaksızın kaç yıl süreyle eski kiracısından başkasına kiralayamaz?",3 yıl.
"Mülk sahibi 3 yıllık kiralama yasağına (TBK 355) aykırı davranırsa, eski kiracıya ne kadar tazminat ödemekle yükümlü olur?",Son kira yılında ödenmiş olan bir yıllık kira bedelinden az olmamak üzere tazminat.
Belirli süreli kira sözleşmelerinde ihtiyaç sebebiyle tahliye davası ne zaman açılmalıdır?,"Sözleşme süresinin sonunda, takip eden 1 ay içinde."
İhtiyaç sebebiyle tahliye davası açmadan önce kira sözleşmesinin sona ermesinden önce kiracıya yazılı bildirim yapılması dava açma süresini ne kadar uzatır?,Bir kira yılı.
Belirsiz süreli kira sözleşmelerinde ihtiyaç sebebiyle tahliye davası için fesih bildirimi kaç ay önceden yapılmalıdır?,6 aylık fesih dönemi için 3 ay önceden.
"Mülk sahibinin kendisinin de kirada oturuyor olması, tahliye davasında ihtiyacın zorunlu olduğuna dair bir kanıt mıdır?","Evet, Yargıtay uygulamasına göre kirada oturmak samimi ve zorunlu bir ihtiyaçtır."
Tahliye davası sürerken mülk sahibinin evi satmaya çalışması davanın sonucunu nasıl etkiler?,İhtiyacın samimi olmadığını gösterir ve davanın reddine sebep olabilir.
"Eşler arasında ayrılık kararı verilmiş olsa dahi, mülk sahibi eşinin ihtiyacı için tahliye davası açabilir mi?","Evet, evlilik hukuken devam ettiği için açabilir."
Reşit olan bir çocuğun (altsoy) konut ihtiyacı sebebiyle tahliye davası açılabilir mi?,"Evet, reşit çocuğun ayrı eve çıkma isteği samimi bir ihtiyaç kabul edilir."
İki haklı ihtar sebebiyle tahliye davası açılabilmesi için ihtarların hangi zaman dilimi içinde yapılmış olması gerekir?,Aynı kira yılı veya aynı kira dönemi içinde.
Bir ihtarın 'haklı ihtar' sayılabilmesi için ödemenin ne zaman yapılmış olması gerekir?,İhtarın kiracıya tebliğinden sonra yapılmış olması gerekir.
"İki haklı ihtar sebebiyle tahliye davası, ihtarların yapıldığı kira yılının bitiminden itibaren ne kadar süre içinde açılmalıdır?",1 ay.
"Yargıtay'ın istikrarlı görüşüne göre, iki haklı ihtar sebebiyle tahliye davası belirsiz süreli sözleşmelerde uygulanabilir mi?","Hayır, genellikle belirli süreli kira sözleşmelerinde uygulanabileceği kabul edilir."
Tahliye davaları açılmadan önce başvurulması gereken zorunlu ön şart nedir?,Arabuluculuk.
"Elektronik Tebligat Yönetmeliği uyarınca, elektronik yolla yapılan tebligat muhataba ulaştığı tarihi izleyen kaçıncı günün sonunda yapılmış sayılır?",5. günün sonunda.
Kira bedelinin eksik ödenmesi durumunda yapılan ihtar haklı ihtar sayılır mı?,"Evet, eksik miktar önemsiz bir seviyede değilse haklı ihtar sayılır."
Kira artış oranının hesaplanmasında kullanılan 12 aylık TÜFE ortalaması verisini hangi kurum açıklar?,Türkiye İstatistik Kurumu (TÜİK).
"Kira tespit davasında belirlenen yeni kira bedeli, hangi tarihten itibaren kiracıyı bağlar?","Dava 30 gün önce açılmış veya bildirim yapılmışsa, izleyen yeni kira dönemi başlangıcından itibaren."
Mülk sahibinin bakmakla yükümlü olduğu kardeşinin konut ihtiyacı için tahliye davası açabilmesi hangi şartla mümkündür?,Kardeşin yoksulluğa düşme tehlikesinin bulunması ve mülk sahibinin refah içinde olması.
İhtiyaç sebebiyle tahliye davasında davalı olarak kim gösterilmelidir?,Kira sözleşmesinin tarafı olan kiracı (birden fazla ise tamamı).
Mülk sahibi kira bedelini zamanında ödemeyen kiracıya karşı hangi kanun maddesi uyarınca temerrüt nedeniyle fesih hakkını kullanabilir?,TBK Madde 315.
"Kira artış oranı hesaplanırken mevcut kira bedeli 20.000 TL ve TÜFE oranı $\% 50$ ise, yeni kira bedeli kaç TL olur?",$30.000$ TL.
"Kira sözleşmesi tapuya şerh edilmiş olsa bile, TÜFE oranını aşan artış şartı geçerli midir?","Hayır, TÜFE oranını aşan kısım hukuken geçersizdir."
Paylı mülkiyette ihtiyaç sebebiyle tahliye davası açabilmek için hangi çoğunluk aranır?,Pay ve paydaş çoğunluğu.
Elbirliği mülkiyetinde tahliye davası açabilmek için paydaşlar arasında ne aranır?,Oybirliği.
"Kira bedelinin yan giderleri (aidat, yakıt vb.) içermemesi durumunda, sadece yan giderlerin ödenmemesi iki haklı ihtara konu olabilir mi?","Hayır, iki haklı ihtar kuralı sadece kira bedeli ödemeleri için geçerlidir."
