"Arsa payı karşılığı kat yapımı sözleşmesi, Türk Borçlar Kanunu'nda düzenlenmiş sözleşme türlerinden biri midir?","Hayır, bu sözleşme Türk Borçlar Kanunu'nda düzenlenmemiş isimsiz bir sözleşmedir."
Arsa payı karşılığı kat yapımı sözleşmesinin hukuki niteliği nedir?,"Karma sözleşmelerden ""çifte tipli"" bir sözleşmedir."
Arsa payı karşılığı kat yapımı sözleşmesinde arsa sahibinin temel borcu nedir?,Belirlenen arsa paylarını yükleniciye devretmektir.
Arsa payı karşılığı kat yapımı sözleşmesinde yüklenicinin (müteahhit) temel borcu nedir?,Arsa üzerinde bağımsız bölümler inşa etmek ve arsa sahibine düşen kısımları teslim etmektir.
Edimlerin ifa biçimi açısından arsa payı karşılığı kat yapımı sözleşmesi ne tür bir sözleşmedir?,İki tarafa borç yükleyen ani edimli bir sözleşmedir.
Arsa payı karşılığı kat yapımı sözleşmesinin geçerli olması için hangi şekil şartına uyulmalıdır?,Noter tarafından düzenleme şeklinde resmi biçimde yapılmalıdır.
"Arsa payı karşılığı kat yapımı sözleşmesinde ""ücret"" nedir?",Para yerine yükleniciye devredilecek olan arsa paylarıdır.
Arsa payı karşılığı kat yapımı sözleşmesinin unsurları nelerdir?,"Arsa paylarını devir borcu, kat yapma borcu ve taraflar arasındaki anlaşmadır."
"Arsa sahibi, arsa paylarını hangi iki ana yöntemle devredebilir?",Mülkiyeti doğrudan devrederek veya inşaatın aşamasına göre kısım kısım devrederek.
Kat Mülkiyeti Kanunu'na göre bağımsız mülkiyete konu olan bölümlere ne ad verilir?,Bağımsız bölüm.
"Sözleşmede kullanılan ""kat"" ifadesi yerine doktrinde hangi ifadenin kullanılmasının daha doğru olduğu belirtilmiştir?",Bağımsız bölüm.
Yüklenicinin borçlandığı iki temel edim nedir?,Bina yapmak ve arsa sahibine ait bağımsız bölümleri devretmektir.
Arsa payı karşılığı kat yapımı sözleşmesinde şekil şartı ispat şartı mıdır yoksa geçerlilik şartı mıdır?,Bir geçerlilik şartıdır.
Arsa payı karşılığı kat yapımı sözleşmesi hangi iki kanuni sözleşme tipinin unsurlarını birleştirir?,Taşınmaz satımı ve eser sözleşmesi.
Ani edimli borç ilişkilerinde borç ne zaman sona erer?,Edimin ifasıyla aynı anda sona erer.
"Sözleşmenin ""sürekli borç ilişkisi"" olarak nitelendirilmesinin temel sonucu nedir?",Sözleşmenin ileriye etkili olarak sona erdirilmesidir.
"Sözleşmenin ""ani edimli"" olarak nitelendirilmesinin temel sonucu nedir?",Sözleşmenin geçmişe yönelik (geriye etkili) olarak sona erdirilmesidir.
Yüklenicinin kendisine düşen payları üçüncü kişilere satması hukuki olarak nasıl nitelendirilir?,Alacağın devri (temlik).
Uygulamada en sık karşılaşılan arsa payı devri yöntemi hangisidir?,Arsa sahibinin arsa paylarını satış vaadi ve yüklenicinin inşaat taahhüdü.
Arsanın tamamen yükleniciye devredildiği durumda arsa sahibinin hakları genellikle nasıl güvence altına alınır?,Arsa payları üzerinde arsa sahibi lehine ipotek kurularak.
Taşınmaz satış vaatlerini düzenlemeye yetkili makamlar hangileridir?,Noterlikler ve tapu memurları.
Resmi şekle uyulmadan yapılan bir arsa payı karşılığı kat yapımı sözleşmesinin yaptırımı nedir?,Kesin hükümsüzlük (mutlak butlan).
Hangi durumlarda şekil noksanlığını ileri sürmek hakkın kötüye kullanılması sayılabilir?,"Edimlerin büyük oranda veya tamamen, bilerek ve isteyerek ifa edildiği durumlarda."
"Yargıtay İçtihadı Birleştirme Kararı'na göre, hangi şartla geçersiz sözleşmeye dayalı tescil davası kabul edilebilir?",Alıcının tüm borçlarını eda etmesi ve satıcının bağımsız bölümü teslim etmesi şartıyla.
Yüklenicinin borçlarını yerine getirirken uyması gereken temel yükümlülük nedir?,Sadakat ve özen borcu.
"Yüklenici, arsa sahibinden aldığı malzemenin ayıplı olduğunu fark ederse ne yapmalıdır?",Durumu derhal arsa sahibine bildirmelidir.
"Yüklenici, inşaatı bizzat mı yapmak zorundadır?","Kural olarak bizzat veya kendi idaresi altında yaptırmalıdır, ancak kişisel yetenek önemli değilse başkasına yaptırabilir."
"Yüklenicinin işi devrettiği, bağımsız ve kendi hesabına çalışan yardımcı kişiye ne ad verilir?",Alt yüklenici.
