"Boşanma davalarında ""kusur oranı"" neyi ifade eder?",Eşlerin evlilik birliğinin bozulmasına ne ölçüde neden olduklarını belirleyen hukuki değerlendirmedir.
Kesin hüküm kural olarak mahkeme kararının hangi bölümü için geçerlidir?,Hüküm fıkrası.
Mahkeme kararının gerekçesi hangi durumda istisnai olarak kesin hükme dahil kabul edilir?,Hüküm fıkrası ile ayrılması imkansız bir bağlılık içinde bulunduğu durumlarda.
"Yargıtay Hukuk Genel Kurulu'na göre, boşanma hükmü kesinleşse dahi kusur belirlemesi ne amaçla temyiz edilebilir?",Nafaka ve tazminat gibi boşanmanın fer'i sonuçları bakımından incelenmesi amacıyla.
Boşanma davalarında eşin ailesinin müdahalelerine sessiz kalması ne şekilde değerlendirilir?,Eşin kusurlu bir davranışı olarak kabul edilir.
"Ekonomik şiddet kapsamında, ortak konutun aboneliklerini (su, elektrik vb.) kapatmanın hukuki sonucu nedir?",Boşanmaya sebep olan olaylarda kusur sayılan bir ekonomik şiddet eylemidir.
Eşin çalışmasına engel olmak veya maaş kartına el koymak hangi şiddet türüne örnektir?,Ekonomik şiddet.
"Yargıtay'a göre, bir eşin kazancına oranla kasten çok az harcama yapması (pintilik) boşanma sebebi midir?","Evet, bu davranış ekonomik şiddet kapsamında kusur sayılır."
TMK m. 166/1 uyarınca boşanmaya karar verilebilmesi için davalının kusur durumu ne olmalıdır?,Davalının az da olsa kusurlu olması gerekir.
Anlaşmalı boşanma davası açabilmek için evlilik birliğinin en az ne kadar sürmüş olması şarttır?,En az bir yıl.
"Zina nedeniyle boşanma davası açma hakkı, olayın öğrenilmesinden itibaren ne kadar sürede düşer?",Altı ay.
Zina eyleminin üzerinden kaç yıl geçmesi durumunda dava açma hakkı tamamen ortadan kalkar?,Beş yıl.
Haysiyetsiz hayat sürme nedeniyle boşanma davası açılabilmesi için aranan temel şart nedir?,Haysiyetsiz yaşamın devamlılık göstermesi.
Eşin haklı bir sebep olmaksızın ortak konutu terk etmesi durumunda başvurulan özel boşanma sebebi hangisidir?,Terk nedeniyle boşanma.
"Anayasa Mahkemesi'nin 2024 tarihli iptal kararı sonrası, fiili ayrılık nedeniyle boşanma davası açabilmek için gereken süre kaç yıla indirilmiştir?",Bir yıl.
Fiili ayrılık (ortak hayatın kurulamaması) davası açabilmek için reddedilen davanın hangi aşamada olması gerekir?,Kararın kesinleşmiş olması gerekir.
Boşanmada maddi tazminat alabilmek için talep eden tarafın kusuru ne olmalıdır?,Kusursuz veya daha az kusurlu olmalıdır.
Manevi tazminat talebinin kabulü için hangi hakkın saldırıya uğramış olması gerekir?,Kişilik hakları.
Yoksulluk nafakası hangi taraf lehine hükmedilebilir?,"Boşanma yüzünden yoksulluğa düşecek olan, kusuru daha ağır olmayan taraf lehine."
Dava süresince tarafların geçimi ve çocukların bakımı için verilen nafaka türü nedir?,Tedbir nafakası.
"Boşanmada ""tam kusurlu"" olan eşin yoksulluk nafakası talep etme hakkı var mıdır?","Hayır, tam kusurlu eş yoksulluk nafakası alamaz."
Velayet kararlarında mahkemenin öncelikle gözettiği kriter hangisidir?,Çocuğun üstün yararı.
Vajinismus rahatsızlığında kadın eşin kusurlu sayılabilmesi için hangi şart aranır?,Rahatsızlığın tedavisi mümkün olmasına rağmen tedaviden kaçınması.
"Yargıtay'a göre, cinsel birleşmeyi doğal olmayan yollarla (anal ilişki) gerçekleştirmeye çalışmak hangi kapsamdadır?",Cinsel şiddet.
Eşin cinsel performansını veya bedenini aşağılayıcı sözler söylemesi hangi kusur türüne girer?,Duygusal/Cinsel şiddet veya onur kırıcı davranış.
Evlilik içi cinsel sırların üçüncü kişilerle paylaşılması hukuken ne olarak nitelendirilir?,Cinsel mahremiyetin ihlali.
Eşin bulaşıcı bir cinsel hastalığı diğerinden gizlemesi boşanma davasında nasıl değerlendirilir?,Ağır kusur ve güven sarsıcı davranış.
Sürekli ve aşırı sosyal medya kullanımı hangi gerekçeyle boşanma sebebi sayılabilir?,Evlilik birliğinin temelinden sarsılması ve birlik görevlerinin ihmali.
Eşlerden birinin diğerini asılsız yere sadakatsizlikle suçlaması (iftira) kusur sayılır mı?,"Evet, kişilik haklarına saldırı ve ağır kusur sayılır."
Boşanma davasında reddedilen kararın kesinleşmesinden itibaren sürenin işlemesi için ortak hayatın durumu ne olmalıdır?,Ortak hayatın hiçbir sebeple yeniden kurulamamış olması gerekir.
Yerel mahkemenin kusur belirlemesine karşı hangi kanun yollarına başvurulabilir?,İstinaf ve temyiz.
Eşit kusur durumunda tarafların birbirlerinden maddi tazminat talep etme hakları var mıdır?,"Hayır, maddi tazminat için karşı tarafın daha kusurlu olması gerekir."
Boşanma davalarında tanık beyanları kusur tespitinde nasıl bir role sahiptir?,Somut vakıaların ispatlanmasında en önemli delillerden biridir.
