"Arsa payı karşılığı kat yapımı sözleşmesi, Türk Borçlar Kanunu'ndaki düzenleme statüsü bakımından nasıl nitelendirilir?","Kanunda düzenlenmemiş, karma (çifte tipli) bir sözleşmedir."
Arsa payı karşılığı kat yapımı sözleşmesinde arsa sahibinin temel edim borcu nedir?,Arsa paylarının mülkiyetini yükleniciye devretmek.
Arsa payı karşılığı kat yapımı sözleşmesinde yüklenicinin temel edim borcu nedir?,Arsa üzerinde bağımsız bölümler inşa etmek ve arsa sahibine düşenleri devretmek.
Sözleşmenin taraflara borç yükleme özelliği bakımından niteliği nedir?,İki tarafa borç yükleyen (sinallagmatik) bir sözleşmedir.
Edimlerin ifa süreci ve menfaatin gerçekleşme anı dikkate alındığında bu sözleşme ne tür edimli bir sözleşmedir?,Ani edimli bir sözleşmedir.
Arsa payı karşılığı kat yapımı sözleşmesinin geçerliliği için öngörülen şekil şartı nedir?,Noter tarafından düzenleme şeklinde yapılması gereken resmi şekil şartıdır.
Sözleşmenin resmi şekilde yapılmasının temel hukuki dayanağı nedir?,Konusunun taşınmaz mülkiyetinin devri borcunu içermesidir.
Arsa payı karşılığı kat yapımı sözleşmesinin 'çifte tipli karma sözleşme' olarak adlandırılmasının sebebi nedir?,Taşınmaz satımı ve eser sözleşmesi unsurlarını bünyesinde birleştirmesidir.
Arsa payı karşılığı kat yapımı sözleşmesinde yüklenicinin alacağı 'ücret' nedir?,Para yerine kendisine devredilecek olan arsa paylarıdır.
Kat Mülkiyeti Kanunu m. 2 uyarınca 'kat' terimi yerine hangi ifadenin kullanılması daha doğrudur?,Bağımsız bölüm.
Arsa payı devrinin inşaatın ilerleme aşamasına göre kısım kısım yapılması yöntemine ne ad verilir?,Aşamalı devir (veya inşaattaki aşamaya göre devir).
Arsa sahibinin tüm arsayı başlangıçta yükleniciye devredip kendi paylarını ipotekle güvenceye almasının temel amacı nedir?,Arsa sahibinin yükümlülüklerini azaltmak veya kat irtifakı kurulmamışsa süreci kolaylaştırmak.
Noterlik Kanunu m. 60 uyarınca taşınmaz satış vaadi sözleşmeleri hangi makam tarafından yapılabilir?,Noterler tarafından yapılabilir.
"Yargıtay İçtihadı Birleştirme Kararı'na göre, haricen yapılan sözleşmenin geçersizliğinin ileri sürülemeyeceği durumun temel dayanağı nedir?",TMK m. 2 dürüstlük kuralı ve hakkın kötüye kullanılması yasağıdır.
Yüklenicinin inşaatı bizzat yapma borcu hangi kanun maddesinde düzenlenmiştir?,TBK m. 471 fıkra 3.
Yüklenicinin şahsi yeteneğinin önemli olmadığı hallerde işin başkasına yaptırılması mümkün müdür?,"Evet, yüklenici işi kendi idaresi altında başkasına yaptırabilir."
Alt yüklenici ile arsa sahibi arasında doğrudan bir hukuki ilişki var mıdır?,"Hayır, alt yüklenici sadece asıl yükleniciye karşı sorumludur."
Arsa payı karşılığı inşaat sözleşmesinde teslim ve teslim alma borçlarının ifa zamanı nasıldır?,Kural olarak bu borçlar aynı anda (eş zamanlı) gerçekleşir.
TBK m. 474 uyarınca iş sahibi eseri teslim aldıktan sonra ne kadar sürede gözden geçirmelidir?,İşlerin olağan akışına göre imkân bulur bulmaz uygun bir süre içinde.
Açık ayıpların teslim anında bildirilmemesinin sonucu nedir?,Eserin o haliyle zımnen kabul edilmiş sayılmasıdır.
Gizli ayıpların ortaya çıkması durumunda iş sahibinin yükümlülüğü nedir?,Durumu gecikmeksizin yükleniciye bildirmek.
Taşınmaz yapılarda ayıba karşı sorumluluktan doğan davalar için genel zamanaşımı süresi kaçtır?,Beş yıldır.
Yüklenicinin ağır kusuru varsa ayıplı taşınmazdaki sorumluluk süresi kaç yıla çıkar?,Yirmi yıla çıkar.
İmar Kanunu m. 29 uyarınca ruhsat alındıktan sonra ne kadar sürede inşaata başlanmalıdır?,İki yıl içinde.
Yapı ruhsatı alma yükümlülüğü yasal olarak kime aittir?,Arsa sahibine aittir.
Oturma izni (iskan) alma yükümlülüğü İmar Kanunu m. 30 uyarınca aslen kime aittir?,Mal sahibine (arsa sahibine) aittir.
Arsa payı karşılığı kat yapımı sözleşmesinde emlak vergisinin yasal mükellefi kimdir?,Tapuda malik olarak görünen kişidir (genellikle arsa sahibi).
Yüklenicinin temerrüde düşmesi için aranan ilk şart nedir?,Edimin ifa gününün gelmiş olması ve borcun ifa edilmemesi.
Kesin vade kararlaştırılmayan hallerde yüklenicinin temerrüdü için ne gereklidir?,Arsa sahibi tarafından yapılacak bir ihtar gereklidir.
TBK m. 125 uyarınca ek süre sonunda borç ifa edilmezse alacaklı hangi seçimlik haklara sahiptir?,"Aynen ifa + gecikme tazminatı, müsbet zararın tazmini veya sözleşmeden dönme + menfi zarar."
Yüklenicinin tutumundan süre verilmesinin etkisiz olacağı anlaşılıyorsa ne yapılır?,Ek süre tayin edilmesine gerek kalmadan seçimlik haklar kullanılabilir.
Sözleşmeden dönme durumunda talep edilen zarar türü hangisidir?,Menfi zarar (sözleşme yapılmasaydı uğranılmayacak olan zarar).
Aynen ifadan vazgeçilerek talep edilen zarar türü hangisidir?,Müsbet zarar (sözleşme ifa edilseydi elde edilecek olan menfaat).
İfaya eklenen cezai şartın istenebilmesi için alacaklının ne yapması gerekir?,Teslim anında haklarını saklı tuttuğunu beyan etmesi veya ihtirazi kayıt koyması.
İnşaatın büyük bir kısmının (%90 gibi) tamamlanması durumunda Yargıtay'a göre fesih nasıl sonuç doğurur?,İleriye etkili (ex nunc) sonuç doğurur.
TBK m. 483 uyarınca eser teslimden önce beklenmedik olayla yok olursa hasara kim katlanır?,Kural olarak yüklenici katlanır.
TBK m. 484 uyarınca arsa sahibinin sözleşmeyi her zaman feshetme hakkının bedeli nedir?,Yüklenicinin o ana kadarki masraflarını ve tam tazminatını ödemek.
Öngörülemeyen haller (imprévision) nedeniyle sözleşmenin uyarlanması hangi maddeye dayanır?,TBK m. 480 fıkra 2.
Yüklenicinin ölümü durumunda sözleşme hangi şartla kendiliğinden sona erer?,Yüklenicinin kişisel becerilerinin göz önünde tutularak sözleşme yapılmış olması şartıyla.
Şekle aykırı yapılmış arsa payı karşılığı inşaat sözleşmesinin yaptırımı nedir?,Kesin hükümsüzlük (mutlak butlan).
Haricen düzenlenen sözleşmeye rağmen inşaatın %50'den fazlası yapılmışsa fesih talebi neden reddedilebilir?,Edimlerin kısmen ifasıyla sözleşmenin geçerli kabul edilmesi ve dürüstlük kuralı gereği.
Yüklenicinin üçüncü kişiye adi yazılı sözleşmeyle bağımsız bölüm satması hukuken nasıl nitelendirilir?,Alacağın devri (temliki).
Yükleniciden bağımsız bölüm alan üçüncü kişinin tescil talebini arsa sahibine yöneltme şartı nedir?,Yüklenicinin arsa sahibine karşı olan edimini (inşaatı) yerine getirmiş olması.
Sözleşmenin 'çifte tipli' olmasının sebebi olan iki temel akit unsuru hangileridir?,Eser sözleşmesi ve taşınmaz satış vaadi.
Mücbir sebep olmasa da başlangıçta tahmin edilemeyen aşırı ifa güçlüğü durumunda yüklenici ne talep edebilir?,Sözleşmenin yeni koşullara uyarlanmasını veya dönme/fesih hakkını.
TBK m. 473 f. 1 uyarınca yüklenici işe zamanında başlamazsa arsa sahibi ne yapabilir?,Vadeyi beklemeksizin sözleşmeden dönebilir.
Gecikme tazminatının hukuki niteliği nedir?,Müsbet zarardır.
Arsa payı karşılığı inşaat sözleşmesinde yüklenicinin 'özen borcu' hangi kıstasa göre belirlenir?,Benzer alandaki basiretli bir yüklenicinin göstermesi gereken mesleki özen.
Arsa sahibinin arsadaki ayıpları yükleniciye bildirmemesinin sonucu nedir?,Yüklenicinin bu ayıplar nedeniyle doğacak kusurlardan sorumluluktan kurtulması.
Şekle aykırılığın 'hakkın kötüye kullanılması' teşkil ettiği hallerde hakim neye karar verir?,Cebri tescile veya sözleşmenin geçerli sayılmasına.
"Arsa sahibi, yüklenicinin kusuru olmasa dahi 'gecikme tazminatı' isteyebilir mi?","Hayır, gecikme tazminatı için yüklenicinin kusuru şarttır."
Sözleşmede 'kesin vade' varsa ihtar çekilmesine gerek duyulmadan hangi durum gerçekleşir?,Vadenin bitimiyle borçlu kendiliğinden temerrüde düşer.
Feshi ihbar ile sözleşmenin sona erdirilmesi 'bozucu yenilik doğuran' bir hak mıdır?,"Evet, bozucu yenilik doğuran bir haktır."
Arsa sahibinin tazminat ödeyerek sözleşmeyi feshetmesi (TBK 484) için inşaatın hangi aşamada olması gerekir?,İnşaatın henüz tamamlanmamış olması gerekir.
Yüklenicinin aciz durumuna düşmesi sözleşmeyi ne zaman sona erdirir?,Aciz hali devamlı nitelikteyse ve işin bizzat yapılması önem taşıyorsa.
Arsa sahibinin 'sadakat ve özen borcu' kapsamında yükleniciyi uyarma yükümlülüğü var mıdır?,Metne göre bu yükümlülük esasen yükleniciye aittir; ancak arsa sahibinin talimatları hatalıysa yüklenici uyarmalıdır.
"Yüklenici, iş sahibine ait malzemenin ayıplı olduğunu fark ederse ne yapmalıdır?",Durumu derhal iş sahibine (arsa sahibine) bildirmelidir.
"Sözleşmede inşaatın bitiş tarihi 'ruhsat alımından itibaren 24 ay' olarak belirlenmişse, süre ne zaman başlar?",İnşaat ruhsatının alındığı tarihte başlar.
Arsa payı karşılığı inşaat sözleşmesinde 'götürü bedel' kavramı neye tekabül eder?,Devredilecek arsa paylarının tamamına.
"Yargıtay İBK 1988 uyarınca, geçersiz satışlarda teslimin gerçekleşmesi neyi korur?",Satışın geçerliliğini ve alıcının mülkiyet hakkını (dürüstlük kuralı gereği).
Yüklenicinin işi alt yükleniciye devretmesi için arsa sahibinin rızası her zaman şart mıdır?,"Hayır, kişisel yeteneğin önemli olmadığı hallerde rıza aranmaz."
Arsa sahibinin edimi ifa imkânsızlığına girerse yüklenici ne talep edebilir?,Yaptığı işin değerini ve masraflarını (TBK m. 485).
Sözleşmeden dönme (fesih) beyanı karşı tarafa ulaştıktan sonra geri alınabilir mi?,Kural olarak tek taraflı irade beyanı olduğu için geri alınamaz.
Yüklenicinin sözleşmeye aykırı yaptığı kısımlar için arsa sahibinin 'ücret indirimi' isteme hakkı var mıdır?,"Evet, ayıp önemli değilse onarım veya bedel indirimi isteyebilir."
Arsa payı karşılığı inşaat sözleşmesi 'geçici-sürekli karmaşığı' bir özellik taşır görüşü neyi etkiler?,Feshin geriye etkili mi yoksa ileriye etkili mi olacağını.
Arsa payı karşılığı inşaat sözleşmesi 'isimsiz sözleşmeler' kategorisinde nerede yer alır?,Karma sözleşmeler kategorisinde.
