Arsa payı karşılığı inşaat sözleşmelerinde arsa sahibinin temel amacı nedir?,Meydana getirilen inşaat aracılığıyla kendisine isabet eden bağımsız bölümlere bir an önce kavuşmaktır.
Yüklenicinin bağımsız bölümleri teslimde gecikmesi halinde arsa sahibinin ifaya ek olarak talep edebileceği yaptırım nedir?,Ceza koşulu (cezai şart) veya kira tazminatı.
"Yargıtay uygulamasına göre, arsa sahibinin temerrüde düşen yükleniciye karşı sözleşmeyi sona erdirme yetkisi kural olarak nasıl kullanılır?",Tek taraflı irade beyanı yeterli olmayıp mahkeme kararı gereklidir.
Öğretide eser sözleşmesinin zaman yönünden hukuki niteliği hakkındaki hâkim görüş nedir?,Ani edimli bir sözleşme olduğu yönündedir.
"Eser sözleşmesini ani edimli kabul eden görüşe göre, yüklenicinin faaliyetinin zamana yayılması neden sözleşmeyi sürekli borç ilişkisi yapmaz?","Çünkü alacaklının ifaya olan menfaati zaman içinde değil, eserin teslimiyle bir defada gerçekleşir."
Eser sözleşmesinin sürekli borç doğuran bir ilişki olduğunu savunan yazarlar hangi unsura dayanmaktadır?,Eserin meydana getirilmesi (imalat) sürecinin bir zaman dilimine yayılmasına.
Eser sözleşmesinin ani edimli mi yoksa sürekli edimli mi olduğu tartışması hangi hukuki durumda büyük önem arz eder?,Sözleşmenin sona erdirilmesi halinde o ana kadar yapılan kısmın hukuki niteliği ve feshin etkisi bakımından.
Yargıtay'ın 25.01.1984 tarih ve 3/1 sayılı İçtihadı Birleştirme Kararı'nın temel istisnası nedir?,Olayın niteliği ve özelliğinin haklı gösterdiği (inşaatın büyük oranda tamamlandığı) hallerde feshin ileriye etkili sonuç doğurmasıdır.
İnşaat sözleşmelerinde geriye etkili dönme yerine ileriye etkili feshin kabul edilmesinin temel dayanağı olan dürüstlük kuralı maddesi hangisidir?,Türk Medeni Kanunu Madde 2.
"Güncel Yargıtay içtihatlarına göre, bir inşaatın ileriye etkili feshedilebilmesi için asgari tamamlanma oranı genellikle kaç kabul edilir?",$\%90$ ve üzeri.
Yargıtay'ın ileriye etkili fesih için $\%90$ oranının yanı sıra aradığı ek kriter nedir?,Eksik kalan işlerin amaçlanan kullanıma engel oluşturmadığının belirlenmesi.
Ceza koşulunun asıl alacağa bağlı olması durumuna hukuken ne ad verilir?,Fer'i nitelik.
Fer'i nitelik uyarınca asıl borcun zamanaşımına uğraması ceza koşulunu nasıl etkiler?,Ceza koşulunun da zamanaşımına uğramasına yol açar (TBK m. 152).
Asıl borcun geçersiz olması durumunda ceza koşulunun akıbeti ne olur?,Kural olarak ceza koşulu da geçersiz hale gelir (TBK m. 182/II).
Müspet zarar (olumlu zarar) kavramının tanımı nedir?,Alacaklının borcun zamanında ve gereği gibi ifa edilmesine yönelik menfaatinin ihlali sonucu uğradığı zarardır.
Menfi zarar (olumsuz zarar) nedir?,Hüküm ifade ettiğine güvenilen bir sözleşmenin geçersiz olması veya kurulamaması nedeniyle uğranılan zarardır.
Ceza koşulu niteliği itibariyle hangi zarar kategorisine girer?,Müspet zarar.
